#{"t_start": 1754592836.6638713, "env_id": "None"}
r,l,t
55.716885,12,104.889951
73.938055,16,104.903697
50.428428,11,104.913346
10.042304,3,104.916022
20.536211,5,104.92039
43.364257,10,104.929279
29.585529,7,104.935453
45.093721,10,104.944295
14.950703,4,104.948198
65.272924,14,104.960399
39.184484,9,104.969404
58.567199,13,104.980481
44.283743,10,104.988911
9.871633,3,104.991631
89.274131,19,105.007944
58.462189,13,105.019524
4.949739,2,105.02141
39.767123,9,105.029437
84.06456,18,105.04487
108.106629,23,105.064392
52.656286,12,105.074942
88.178985,19,105.091169
5.069822,2,105.093001
20.401806,5,105.097373
14.656228,4,105.100774
29.55541,7,105.106852
29.144107,7,105.113132
47.696098,11,105.12264
107.317363,22,105.141515
68.166663,15,105.155012
41.079947,9,105.163062
42.627757,10,105.171709
38.928344,9,105.17978
106.087539,22,105.198579
155.578811,32,105.225385
50.671761,11,105.23463
94.67039,20,105.251608
4.884274,2,105.253414
34.902283,8,105.260516
4.974903,2,105.262328
68.122154,15,105.274844
79.28454,17,105.289576
9.827031,3,105.292313
58.704519,13,105.303756
5.049889,2,105.305596
64.476711,14,105.317936
41.214979,9,105.325716
5.033096,2,105.327748
20.849192,5,105.332042
96.243965,20,105.34966
41.389504,9,105.357232
25.83369,6,105.362566
137.965894,29,105.38682
46.775683,10,105.395257
10.114173,3,105.397882
76.363668,16,105.411418
157.606999,32,105.437949
24.151365,6,105.443024
45.847255,10,105.451922
5.055721,2,105.453645
52.607277,12,105.463875
44.780335,10,105.47241
68.150318,15,105.4851
30.540905,7,105.490997
5.080737,2,105.492718
42.550836,10,105.501483
74.407894,16,105.515019
4.899617,2,105.516806
82.29733,18,105.531885
36.290058,8,105.538652
65.519258,14,105.550891
97.620408,21,105.568456
25.314144,6,105.573591
58.287894,13,105.584689
15.014682,4,105.588372
5.008284,2,105.590146
71.576154,15,105.602872
62.592863,14,105.614991
30.713298,7,105.620809
28.953451,7,105.626945
29.726172,7,105.63277
83.589922,18,105.647932
5.031886,2,105.649697
60.914168,13,105.660958
9.844412,3,105.663494
45.272794,10,105.671778
122.591379,26,105.693545
76.049425,16,105.706801
112.852985,24,105.726949
4.917434,2,105.728768
20.461836,5,105.732942
15.376434,4,105.736397
4.869442,2,105.738222
15.179368,4,105.741716
47.605087,11,105.751306
59.076452,13,105.762278
15.155821,4,105.765771
30.427133,7,105.77169
58.983018,13,105.782625
44.144064,10,105.790916
54.078929,12,105.801028
49.938992,11,105.810282
76.38121,16,105.823496
64.81867,14,105.835505
90.492864,19,105.851586
5.066162,2,105.85341
34.34885,8,105.860293
69.854211,15,105.872724
38.389685,9,105.880512
65.595249,14,105.89219
10.203166,3,105.895086
87.673869,19,105.911038
58.664603,13,105.922018
20.590237,5,105.926384
73.917976,16,105.939828
38.906924,9,105.947927
41.475224,9,105.955652
25.34955,6,105.961007
83.974473,18,105.975851
79.014981,17,105.990257
28.601779,7,105.996461
73.051129,16,106.010063
25.714504,6,106.01517
64.563228,14,106.02729
65.412321,14,106.038799
40.745394,9,106.046559
15.212738,4,106.05017
82.157636,17,106.064708
44.520466,10,106.073726
25.655966,6,106.079754
4.862775,2,106.081707
47.554431,11,106.091711
132.199554,27,106.115834
65.487368,14,106.128154
77.874783,17,106.142699
83.10136,18,106.158845
119.157595,25,106.180356
83.866587,18,106.196114
25.10737,6,106.201312
44.577699,10,106.209796
85.470735,18,106.224745
20.38989,5,106.229189
36.284183,8,106.235817
10.183087,3,106.23848
4.922075,2,106.240312
10.095983,3,106.2429
5.038439,2,106.244907
20.336333,5,106.249382
4.954679,2,106.2511
29.504754,7,106.257207
58.949415,13,106.268327
57.779672,13,106.2794
5.029075,2,106.281209
4.909514,2,106.283047
48.507592,11,106.292172
10.163492,3,106.294875
68.517701,15,106.30738
5.046968,2,106.309105
67.326415,14,106.321039
89.686405,19,106.337174
4.931464,2,106.338955
83.264914,18,106.354756
34.676799,8,106.361951
29.486365,7,106.367805
9.822219,3,106.370353
