#{"t_start": 1754656415.784797, "env_id": "None"}
r,l,t
11.174793,15,424.999698
10.958669,13,425.011518
13.03846,33,425.041909
25.529354,19,425.058867
14.027205,15,425.072678
17.383253,24,425.095902
16.944762,15,425.109141
9.817325,18,425.127234
19.575767,23,425.148116
21.495909,20,425.166145
27.931891,19,425.183384
21.047699,22,425.20321
20.688878,18,425.219221
14.410382,20,425.237785
25.616072,27,425.262433
12.267373,27,425.286753
18.348188,19,425.303926
16.364214,19,425.321136
29.411905,31,425.34882
13.095333,14,425.361366
22.109349,26,425.383902
12.255972,20,425.40122
19.252069,39,425.434815
14.507555,25,425.456332
4.335826,18,425.471882
37.285221,34,425.500818
14.660172,19,425.521078
55.148495,54,425.568172
15.899664,20,425.585584
19.065014,17,425.600722
21.549763,23,425.62128
14.990157,31,425.649002
60.998618,63,425.704007
10.956822,24,425.72477
21.098536,20,425.742785
18.97971,23,425.762632
40.383885,36,425.794671
11.398746,12,425.805111
21.183932,28,425.830583
5.521628,7,425.836658
24.100324,30,425.862649
23.982339,28,425.887399
14.344686,9,425.895375
4.40982,7,425.901587
21.668651,21,425.920125
13.427974,22,425.939873
6.904845,21,425.958015
32.237719,40,425.992702
3.869077,7,425.998867
35.482,28,426.023133
18.561799,19,426.040268
14.981825,11,426.04976
23.991723,28,426.073627
40.235843,50,426.11744
17.247208,12,426.128548
4.750603,13,426.14037
24.240232,34,426.169147
21.103511,35,426.199376
15.010991,28,426.223295
27.085212,34,426.252777
29.229714,25,426.274472
15.617045,24,426.295471
11.511027,21,426.313792
22.387121,18,426.329313
31.867999,18,426.345365
18.418329,19,426.361647
24.502202,21,426.379669
29.012175,33,426.407875
17.971585,17,426.422663
19.893942,12,426.433442
10.605208,21,426.451267
19.877079,10,426.459712
16.257217,13,426.47079
43.685656,33,426.498805
13.335088,16,426.512603
27.744811,34,426.542313
29.641302,20,426.559966
22.65002,33,426.588686
16.478753,27,426.61225
22.275521,17,426.627003
9.425555,9,426.635347
41.097156,49,426.6771
3.212958,6,426.682408
24.486023,30,426.707977
15.159431,29,427.678887
9.408404,19,427.695421
6.694869,24,427.716122
34.030739,33,427.745159
34.913549,26,427.767897
38.682122,35,427.798235
20.859048,23,427.819303
30.04967,34,427.848998
13.106516,17,427.863533
19.208563,15,427.87637
22.130253,40,427.910744
9.155581,15,427.923896
17.987507,28,427.948144
21.356093,22,427.967134
17.110647,27,427.990319
14.409121,18,428.00565
10.623639,11,428.015099
18.673609,25,428.036654
38.887126,31,428.06354
22.602531,13,428.074769
20.994099,23,428.094699
28.338027,39,428.129047
29.758752,26,428.15194
28.87104,14,428.164274
15.896033,23,428.185104
